gene,delta
ALDH5A1,0.0016933688538497416
ALDH7A1,0.00018426545457261856
ALDOC,6.528759310953092e-09
ALG1L,0.00035333874443033153
ALK,-0.0007878663383101836
ALKBH3,0.0005767957992870443
ALOX5,0.0006604581332153581
ALOX5AP,-0.000845967364468514
ALPK2,-0.00048235779104377485
ALPK3,-9.228745122713544e-05
ALPL,-0.00040764500606493836
ALPP,-0.0006443522595116491
ALPPL2,-0.0015167211610370712
ALS2CL,0.00027791705225321817
ALX1,-1.1305682870332845e-05
AMACR,-6.175095657035001e-09
AMBP,0.000705754015982607
AMDHD2,0.00010043842331763919
AMH,0.001440823130108515
AMIGO2,0.0007392478063552588
AMN,-5.5516438867142526e-06
AMOT,-0.0010354997986462555
AMOTL1,-0.00038293775667297414
AMOTL2,-0.00048463857653813225
AMPD3,-0.00030518458138573124
AMPH,-0.0016206408895657054
AMT,8.40721500388053e-05
ANGPT1,-0.0022222283886418337
ANGPTL2,0.0004622788791898147
ANGPTL4,0.000420480134574186
ANK1,0.0008512897729181512
ANK2,-0.0011218829977652778
ANK3,0.0005518991697732734
ANKH,0.00018531666372756384
ANKLE1,-0.0011587148130495217
ANKRD1,0.0003645567142990247
ANKRD10,-0.0014502064949998283
ANKRD13A,-2.840512248303284e-05
ANKRD13B,-2.0702615177725647e-09
ANKRD2,-0.0004669569720141542
ANKRD22,-0.0003390438550957553
ANKRD29,0.0014815778620461684
ANKRD37,0.00022334076028407424
ANKRD44,0.0005433857017960175
ANKRD50,0.0008213294970128571
ANKRD6,-0.0005676996110429711
ANKRD9,0.00042459972020858494
ANKS4B,0.00018118291493141037
ANKS6,-0.00041130742227646344
ANLN,1.168046341770701e-05
ANO1,-0.00010007720866500591
ANO10,0.00048356864994869575
ANO6,-0.0011203082752286875
ANO8,0.0003358923735861108
ANO9,-0.0006573294347391734
ANP32E,-0.00022247039406464442
ANPEP,-0.0005784486097247798
ANTXR1,8.953553612522924e-05
ANTXR2,-0.000653201058302133
ANXA1,-0.00016789968790509313
ANXA10,0.002013965166131837
ANXA11,7.111147505467486e-05
ANXA2,-0.0010875248785422453
ANXA3,0.0002789979561391709
ANXA4,0.00032311532154294387
ANXA5,-0.0008894071737212128
ANXA6,1.4263462080665867e-05
ANXA8,8.166714304813638e-09
ANXA8L1,6.463790280797355e-09
ANXA9,-0.000796473219051741
AOX1,-4.3053168458984103e-05
AP1G2,-0.0006667643507722865
AP1M2,-0.0004354080042969777
