gene,delta
ARHGEF10,-0.0017441212696033964
ARHGEF10L,0.0007766046451756908
ARHGEF11,-0.00029001065942385607
ARHGEF12,0.00026513794796602375
ARHGEF16,-0.0005481968552674549
ARHGEF17,-0.0022390168196306376
ARHGEF19,0.0005514696084767401
ARHGEF2,0.0006866061803171147
ARHGEF3,2.0487021693049723e-05
ARHGEF35,-7.867054193000378e-05
ARHGEF37,0.001208990909681254
ARHGEF4,0.0006312098519207776
ARHGEF5,0.00018897968476541682
ARHGEF6,-0.0012683625480513355
ARHGEF9,0.0018532874067458543
ARID3A,0.0009085618552722718
ARID3B,6.382022797551956e-05
ARID5A,-0.001537302160746587
ARID5B,-6.323322926385377e-05
ARL10,-0.000993458930683186
ARL14,7.149755365531973e-08
ARL4A,8.723443452615665e-05
ARL4C,0.0008857765121775552
ARL4D,0.00037185740243646237
ARL6IP5,-0.0004935929752101914
ARMC9,0.00027784347598888703
ARMCX1,-0.000952811342710122
ARMCX2,-0.0026772504186030194
ARMCX3,-0.0019538706734693184
ARMCX6,0.0009137344345043624
ARNT2,-0.0038029063585338224
ARNTL,-0.0017310505656912972
ARNTL2,-0.0011463623589023503
ARPC1A,-0.0023962341400962234
ARPC1B,-0.0008357534283369022
ARRB1,0.0007593015366576389
ARRB2,0.00016847393306557157
ARRDC1,0.000933699478397304
ARRDC2,-0.0028880818871154373
ARRDC3,0.0011672751707820506
ARRDC4,-0.0031775290321833932
ARSA,-0.0012957420552206639
ARSB,0.0008417951966997322
ARSD,0.0020684896475009623
ARSE,0.0005998613167818578
ARSI,-0.00020787733564589517
ARSJ,0.0007033809505525845
ARTN,-0.0014022769494044657
ARVCF,-0.0006787152776788347
ASAH1,0.0002725259870276636
ASAP1,0.0012043695336908938
ASAP2,0.0003417200795871461
ASAP3,-0.0006812755435736811
ASB13,-0.0003899817548825846
ASB2,-2.4821344982078886e-05
ASB9,7.396622958863452e-05
ASCL1,0.0034624961615174338
ASCL2,-0.00015813101906921034
ASF1B,0.0018194199550691653
ASL,-0.0008421341886304251
ASMTL,-0.0009850225647641125
ASNS,3.997836786381881e-06
ASPH,0.0004821018843361169
ASPHD1,-0.002589384635016359
ASPHD2,-0.0009641198569443482
ASPM,0.0008712314726222886
ASRGL1,-0.0027409838311638762
ASS1,-0.002728261361371956
ATAD2,-0.0006946402931449353
ATAD3B,-0.0020432042236051134
ATCAY,-0.00041034341945583863
ATF3,0.000731640702144612
ATF5,-0.0008349271507630679
ATF7IP2,0.0009040574308655097
ATG16L2,0.0013524705644398921
ATHL1,-0.0004475436809519978
ATL1,0.003349482827723946
ATL3,0.002384534964265536
ATN1,0.0005372706680264738
ATOH8,0.002306260430522483
ATOX1,-0.0015085208962789115
ATP10A,0.0006840846897613051
ATP10D,-0.0003601828093915266
ATP11A,0.000649395898253996
ATP11C,0.0008203271688090874
ATP13A2,-0.0016474317498556407
