gene,delta
ADAMTS6,-0.0010326033734035511
ADAMTS7,-0.00020702093297747526
ADAMTS9,0.001211230381532924
ADAMTSL1,-0.009006772122283957
ADAMTSL4,0.0004132589265558595
ADAMTSL5,-0.0002623379618045818
ADAP1,-0.002541333740322005
ADARB1,-0.0056394821119136185
ADCY1,0.0015632631260960594
ADCY3,0.0002920561066591665
ADCY6,0.003663657266755105
ADCY7,0.009183759198622021
ADCY9,-0.004765940840437077
ADD2,-0.0018926406793039474
ADD3,0.0005091456004138739
ADM,-0.0054036876803901235
ADM2,0.006226677803491953
ADORA1,0.0018475944125455057
ADORA2B,-0.000856091158120853
ADPRH,0.004203926845098904
ADPRHL1,-0.001492856802842224
ADRA1D,-0.0008338862878854436
ADRA2C,0.0019868449118009557
ADRB2,0.0007114492701576491
ADRBK1,-0.0017995452391960098
ADRBK2,0.003461891182453769
ADSSL1,0.00045188613323043914
AEBP1,0.0020119510579034716
AEN,0.0023856045943684845
AFAP1,-1.2034132453431212e-05
AFAP1L1,0.003320349184907201
AFAP1L2,-0.002113738040783575
AFF1,-0.002589826560125852
AFF3,0.00937240591156785
AFP,0.0038011877131719496
AGA,-0.004026358185797496
AGAP1,-0.005076949613749215
AGAP2,0.0007713773963151094
AGAP3,-0.0031316897757535656
AGFG2,0.005122214654254331
AGMAT,-0.002811327095550875
AGPAT2,7.01885409108427e-05
AGPAT3,0.001262809702064327
AGPAT4,0.0051191438224991725
AGPAT5,-0.002021597341166581
AGR2,0.001920880286128357
AGR3,-0.0014052997803346012
AGRN,0.0008619748271485039
AGTPBP1,-0.002615485972745746
AGTRAP,0.0060753819722398905
AHCYL2,-0.007413614609339203
AHNAK,-0.00032288582319356385
AHNAK2,0.001989547771779232
AHR,-0.0025526778193357136
AHRR,-0.0030493046013573277
AHSA2,0.001833924817189414
AHSG,0.0027560865057112416
AIF1L,0.004791638736805326
AIFM2,-0.0017396707434242376
AIG1,-0.002258942791602936
AIM1,0.004906153341807218
AIM1L,-0.00030750432948112305
AIM2,0.004785955998123759
AK1,0.00464881287589336
AK3,-0.0036089077931356073
AK5,-0.007146307899066229
AKAP1,-0.003028645555741394
AKAP12,0.004923529017158146
AKAP7,-0.0058371024079601486
AKNA,0.004560614570069621
AKR1B1,-6.85734754535261e-08
AKR1B10,-0.006783987963650928
AKR1B15,-0.0021087824850715142
AKR1C1,-0.006629380678761065
AKR1C2,-0.004169618041336198
AKR1C3,0.0006222654501555902
AKR1E2,-0.0027429592308081396
AKR7A3,-0.0016401167689038543
AKT3,0.0018789806751224325
ALB,0.00010198605358552326
ALCAM,0.0005365840764841034
ALDH16A1,-0.001835364408068696
ALDH1A1,-0.003989710183887607
ALDH1A2,0.0013183339673418226
ALDH1A3,-0.001544715460035706
ALDH1B1,-0.001494284727880102
ALDH1L1,-0.007902334751394346
ALDH1L2,0.004109655530154022
ALDH2,0.0032966804596040733
ALDH3A1,-0.001191802109887119
ALDH3A2,-0.002670358368709602
ALDH3B1,0.0019411643304995674
ALDH3B2,0.0025261035426161205
ALDH4A1,-6.85734754535261e-08
ALDH5A1,-0.0004241350639832553
ALDH7A1,-0.00559863847119163
ALDOC,-6.85734754535261e-08
ALG1L,0.0009824153532745905
ALK,0.001073604998528821
ALKBH3,0.000959151704354344
ALOX5,-0.004292255406545764
ALOX5AP,0.0012725336299273526
ALPK2,-0.004230591139018969
ALPK3,0.0033420517036681363
ALPL,-0.0012658375774106112
ALPP,-3.252494226874125e-05
ALPPL2,-0.0006687067882742426
ALS2CL,0.0017788302016764068
ALX1,0.0038985012912303163
AMACR,-6.85734754535261e-08
AMBP,-0.0020470301076150332
AMDHD2,0.004152758009118962
AMH,0.002474831217326945
AMIGO2,0.003291227660968621
AMN,0.00799474356085006
AMOT,0.004740123532702867
AMOTL1,-0.004129943287147109
AMOTL2,-0.0014410706038898158
AMPD3,-0.004368520487936622
AMPH,0.001540888660855666
AMT,0.002076729062673588
ANGPT1,-0.000528038875167891
ANGPTL2,-0.00830766843087144
ANGPTL4,-0.0005007524069747249
ANK1,-0.0089352218460228
ANK2,-0.0029712270485320325
