gene,delta
ACTL8,-0.0003356574129460832
ACTN1,-0.0009554841807321302
ACTN4,-0.001298865432285523
ACVR1,-0.00041870473128319263
ACVR1B,-0.00013933982522751354
ACY1,0.00012615331382279105
ACY3,0.0001182225002667181
ADA,-0.000517375302494627
ADAM11,-0.0004116758912341145
ADAM12,-0.0002566413570289916
ADAM15,-0.00038569779355557277
ADAM19,-0.0002332729377324816
ADAM22,-0.00010679909215582928
ADAM23,-0.0003797222529129396
ADAM8,-0.00024486434850981564
ADAM9,-0.00014665815589401388
ADAMTS1,-0.000638541699979428
ADAMTS10,-7.450921278837064e-05
ADAMTS12,-0.0003230502554148196
ADAMTS14,-0.0004564544067546805
ADAMTS15,-0.00046540307464537634
ADAMTS2,-0.0004082771309791011
ADAMTS3,-0.0003832463492680349
ADAMTS6,-0.00042737342560175695
ADAMTS7,-0.00014153648788078899
ADAMTS9,9.41773384831035e-05
ADAMTSL1,-0.00028893842806551606
ADAMTSL4,-0.00023359495993174884
ADAMTSL5,-0.000322619395846796
ADAP1,-0.0006707891615209405
ADARB1,-0.00020118859152037927
ADCY1,-0.00036265133466281685
ADCY3,-0.0001075250947363271
ADCY6,-0.00065988087546337
ADCY7,-9.623038597458833e-05
ADCY9,-0.00023359594712998866
ADD2,-0.0005987000841828349
ADD3,-0.00020834474456921104
ADM,0.00013507205367813135
ADM2,-0.00025408389155875954
ADORA1,-0.00030784953726747943
ADORA2B,-0.00013301129147419433
ADPRH,-0.0003002267171631212
ADPRHL1,-0.00023070959487950238
ADRA1D,-0.00024568795352708506
ADRA2C,-0.00021861614237889126
ADRB2,-0.0005182836324413853
ADRBK1,0.0006096901719622461
ADRBK2,-0.0005206325439484072
ADSSL1,-0.0002619440604729739
AEBP1,-0.00044860487186915154
AEN,-0.00031881237643291427
AFAP1,-0.0008133818525418446
AFAP1L1,-0.0003665037150712702
AFAP1L2,-0.00032925021307486646
AFF1,-2.815667755212692e-05
AFF3,-0.00033373097367156435
AFP,-0.00024136818855299835
AGA,3.613623122955545e-09
AGAP1,-0.00026651163797117294
AGAP2,-0.0004850419897403091
AGAP3,-0.0006147250999883058
AGFG2,-4.532076625546333e-05
AGMAT,-0.0004138199498780748
AGPAT2,-0.00045897422352900175
AGPAT3,-0.0009223059680135703
AGPAT4,-0.0001878752433137898
AGPAT5,-0.0006483056260167819
AGR2,-0.0009579802640700963
AGR3,-8.628581639166799e-05
AGRN,-0.0007484051547549109
AGTPBP1,-0.0002339726572454237
AGTRAP,-0.0006990307889657987
AHCYL2,2.016215178962666e-05
AHNAK,-7.807510650967298e-05
AHNAK2,-6.941371441812616e-05
AHR,-0.0005364940576239319
AHRR,-0.00029590857684286265
AHSA2,-8.061957577445988e-05
AHSG,-0.0002853238183467832
AIF1L,-0.00013541849063822275
AIFM2,-0.00014369903791192074
AIG1,0.00023246054872430588
AIM1,-0.0003760424116653338
AIM1L,-0.00023476959866072789
AIM2,-0.0002691802805318555
AK1,-0.0004390876764605034
AK3,-0.0001834737667261721
AK5,-0.00014307369664331993
AKAP1,-0.0004324793815570216
AKAP12,-0.0006120023725285639
AKAP7,-0.0005642681243473446
AKNA,-0.000547677165082805
AKR1B1,-0.0001818019837958873
AKR1B10,-0.0002245046917488669
AKR1B15,-0.00028818226725355056
AKR1C1,9.77936739391394e-05
AKR1C2,-0.0004092880451270209
AKR1C3,0.0003791970334764694
AKR1E2,-0.00038176893689689795
AKR7A3,-0.0002936061804186263
AKT3,-0.00048506978545606594
ALB,8.43782075033439e-05
ALCAM,-0.00021889347009984572
ALDH16A1,-0.00035277424707202965
ALDH1A1,-0.00037062905383947187
ALDH1A2,0.00036010949616047117
ALDH1A3,-0.0007611980546373409
ALDH1B1,-0.0007560687194929083
ALDH1L1,0.00010385247810826281
ALDH1L2,-0.0005289482989274397
ALDH2,-0.000797166137528893
ALDH3A1,-0.0005660605059776835
ALDH3A2,-0.0009303262437484194
ALDH3B1,9.513639280228636e-06
ALDH3B2,-0.00019423457632181118
ALDH4A1,-4.798187126700548e-05
ALDH5A1,-0.00015755438257861187
ALDH7A1,-0.0015403265057576665
ALDOC,0.00028236373450332697
